Parm;PM10;NO2;NO;NOX;IQA
12/11/21 0.00;31.50181961;20.42685192;3.073091652;33.88148006;63
12/11/21 2.00;30.28083038;10.87828692;0.583235609;17.77049698;61
12/11/21 4.00;22.46640968;5.807464872;0;7.011445204;45
12/11/21 6.00;24.90842056;9.142359653;0.301979749;10.79925876;50
12/11/21 8.00;14.89620972;21.51405281;9.321202828;36.96247792;30
12/11/21 10.00;17.33819962;29.92901258;12.91070176;50.85566171;35
12/11/21 12.00;28.32722092;24.17505931;11.69051896;43.24825504;57
12/11/21 14.00;22.46640968;29.88086868;17.77705753;58.26917264;45
12/11/21 16.00;23.19902039;29.29025213;11.67402432;48.32264325;46
12/11/21 18.00;17.33819962;49.81608687;31.02313932;98.45396387;49
12/11/21 20.00;28.57142067;52.19545623;25.64249786;92.57609427;57
12/11/21 22.00;32.72283173;34.12445877;7.713602777;47.069786;65
13/11/21 0.00;32.23442078;22.5898974;7.977940477;35.97546514;64
13/11/21 2.00;33.21123123;18.63187759;11.14957783;36.89244016;66
13/11/21 4.00;23.44322014;15.74450014;4.676037941;24.08804364;47
13/11/21 6.00;23.44322014;9.835096223;3.15725686;15.86783662;47
13/11/21 8.00;15.38461018;25.24312153;25.77953067;65.91547297;33
13/11/21 10.00;24.17580986;26.07115169;19.37069838;56.91448438;48
13/11/21 12.00;24.17580986;14.12551096;1.289547573;17.28153821;48
13/11/21 14.00;20.02441978;13.60644561;1.284049605;16.75561496;40
13/11/21 16.00;19.78022003;10.01136948;0.104043442;11.36214557;40
13/11/21 18.00;14.16361046;18.02565252;0.448740436;19.8806686;28
13/11/21 20.00;11.23320961;20.77187133;1.302658557;23.92787579;22
13/11/21 22.00;21.0012207;27.59321761;9.544515596;43.36563257;42
14/11/21 0.00;18.80340958;18.90832162;4.277204957;26.63077548;38
14/11/21 2.00;16.84980965;18.34957854;5.289302509;27.62555059;34
14/11/21 4.00;9.27960968;13.90382256;2.512693791;18.46243398;19
14/11/21 6.00;7.814407825;14.82633989;3.193206447;20.42149835;16
14/11/21 8.00;5.860805988;22.89182015;8.178415831;36.07079745;18
14/11/21 10.00;6.105006218;18.17340284;5.534186159;27.33309142;14
14/11/21 12.00;11.23320961;11.82293424;0.598461493;13.46194828;22
14/11/21 14.00;9.768010139;16.71384029;2.593052863;21.37478324;20
14/11/21 16.00;13.91940975;13.09825518;0.955846662;15.2757668;28
14/11/21 18.00;12.94260979;25.08050664;4.912885654;33.2362574;26
14/11/21 20.00;15.14041042;29.89562931;9.239996726;44.65026482;30
14/11/21 22.00;16.60560989;27.48480769;6.168175768;37.5474145;33
15/11/21 0.00;18.55920982;19.43238133;0;20.09726052;37
15/11/21 2.00;22.46640968;10.5384661;0.040602317;11.3316661;45
15/11/21 4.00;54.21244049;6.253205274;0.149721057;7.245548844;108
15/11/21 6.00;26.86202049;8.743086052;0.074437171;9.601503598;54
15/11/21 8.00;13.43101025;36.07947696;9.457812864;51.12219543;27
15/11/21 10.00;6.593407154;39.42394882;13.06761258;59.97662803;30
15/11/21 12.00;3.174602985;52.98729322;33.0777966;104.120462;52
15/11/21 14.00;1.46520102;57.41106872;49.02394726;132.9612799;66
