Parm;PM10;NO2;NO;NOX;IQA;starnuti;tosse;asma;difficolta_respiratorie;mal_di_testa;sonnolenza;occhi_gonfi;lacrimazione;gola_irritata;prurito
2/6/21 6.00 AM;5.62;13.63;2.39;18.48;11;0;0;0;0;0;0;0;0;0;0
2/6/21 8.00 AM;6.35;5.31;0.96;8.29;13;0;0;0;0;0;0;0;0;0;0
2/6/21 10.00 AM;6.11;12.59;3.14;18.62;12;0;0;0;0;0;0;0;0;0;0
2/6/21 12.00 PM;9.77;9.22;2.47;14.37;20;0;0;0;0;0;0;0;0;0;0
2/6/21 2.00 PM;7.08;3.96;0.96;6.99;14;0;0;0;0;0;0;0;0;0;0
2/6/21 4.00 PM;10.74;6.10;1.39;9.70;21;0;0;0;0;0;0;0;0;0;0
2/6/21 6.00 PM;7.57;8.54;1.75;12.61;15;0;0;0;0;0;0;0;0;0;0
2/6/21 8.00 PM;12.70;16.52;2.15;20.88;25;0;0;0;0;0;0;0;0;0;0
2/6/21 10.00 PM;17.58;28.21;0.91;30.21;35;0;0;0;0;0;0;0;0;0;0
3/6/21 12.00 AM;16.36;16.08;0.59;18.06;33;0;0;0;0;0;0;0;0;0;0
3/6/21 2.00 AM;11.72;6.56;0.51;8.81;23;0;0;0;0;0;0;0;0;0;0
3/6/21 4.00 AM;9.04;5.22;0.60;7.99;18;0;0;0;0;0;0;0;0;0;0
3/6/21 6.00 AM;15.38;19.39;2.35;24.16;31;0;0;0;0;0;0;0;0;0;0
3/6/21 8.00 AM;15.14;47.98;13.61;68.62;34;0;0;0;0;0;0;0;0;0;0
3/6/21 10.00 AM;21.25;19.03;4.13;26.54;42;0;0;0;0;0;0;0;0;0;0
3/6/21 12.00 PM;17.83;21.32;4.95;29.99;36;0;0;0;0;0;0;0;0;0;0
3/6/21 2.00 PM;12.70;14.64;2.67;20.13;25;0;0;0;0;0;0;0;0;0;0
3/6/21 4.00 PM;39.32;17.91;3.46;24.46;79;0;0;0;0;0;0;0;0;0;0
